Vessel_ID,IATTC_Number.x,Vessel_Name.x,Call_Sign.x,Port_of_Registration.x,Port_of_Registration_State.x,Length.m.,Beam..m.,Depth..m.,Gross_Ton.mt.,Engine_Power.hp..x,Year_Built.x,Hull_Material.y,Fish.hold.volume..m3.,Gear.x
227101,NA,Main,WDE5818,Newport,OR,11.2195122,NA,NA,11,NA,1927,Wood,NA,NA
227373,NA,HEIDI,WUR4026,PETERSBURG,AK,17.06796708,4.419384334,2.224931423,39,325,1928,Wood,NA,NA
227386,14041,May,WT6007,Fort Bragg,CA,11.64,3.44,1.55,14,160,1928,Wood,NA,Troll
227416,NA,RUTH,WM7003,Winchester Bay,OR,9.387381896,2.804023164,1.280097531,8,NA,1928,Wood,NA,NA
227545,NA,Ample,WA9107,Newport,OR,9.542682927,NA,NA,8,NA,1928,Wood,NA,NA
227566,2032,Aleutian,WDF8622,Ilwaco,WA,19.05,5.02,2.74,48,300,1928,Wood,NA,Troll
227593,9715,Asta,WAB7708,Astoria,OR,12.8,3.04,1.46,12,120,1928,Wood,6,Troll
227859,9737,Azalea,WDE8647,Newport,OR,16.39,4.45,1.79,24,250,1928,Wood,19,Troll
227891,9619,Aallotar,WDF8200,Ilwaco,WA,12.98,3.68,2.25,24,84,1928,Wood,11,Troll
228220,NA,Alma,WDD9060,Seattle,WA,17.13414634,NA,NA,40,NA,1929,Wood,NA,NA
228230,NA,CONDOR,WCW6817,Bay Center,WA,14.02011582,3.505028955,1.61536117,18,NA,1929,Wood,NA,NA
228297,NA,METTA MARIE,WDD7325,Charleston,OR,12.7704968,3.505028955,1.737275221,18,130,1929,Wood,NA,NA
228355,NA,NORA                            *,WA8741,Portland,OR,10.48460835,3.200243828,1.280097531,9,NA,1929,Wood,NA,NA
229249,13219,Laura Marie,WC3426,Ilwaco,WA,14.93,3.93,2.07,19,180,1929,Wood,NA,Troll
229785,13959,Bernice,WCW8231,Lopez Island,WA,15.45,4.54,2.13,33,360,1930,Wood,NA,Troll
229826,NA,MICKEY,WDH4312,Seattle,WA,10.02743066,2.956415727,1.432490094,9,NA,1930,Wood,NA,NA
230050,NA,Corregidor,WB4012,Seattle,WA,20.30487805,#VALUE!,#VALUE!,71,NA,NA,Wood,NA,NA
231032,NA,FRANCES,WC6083,Eureka ,CA,10.94178604,3.200243828,1.49344712,13,NA,1931,Wood,NA,NA
231340,NA,SURPRISE,WYL4716,Newport,OR,10.54556538,3.139286803,1.249619019,8,80,1931,Wood,NA,NA
231525,NA,INA,WCW6790,Newport,OR,9.631209997,3.078329778,1.188661993,9,85,1920,Wood,NA,NA
231706,NA,Atka,WA2590,Seattle,WA,11.09756098,#VALUE!,#VALUE!,16,NA,1932,Wood,NA,NA
233048,NA,MARY STUART,WDE3656,Eureka ,CA,12.00853398,3.56598598,1.889667784,15,NA,1933,Wood,NA,NA
233297,NA,Josias,WB6555,San Francisco,CA,13.50609756,#VALUE!,#VALUE!,23,NA,1934,Wood,NA,NA
233368,NA,CHARLOTTE,WD5840,Seattle,WA,12.40475465,3.444071929,2.07253886,23,NA,1934,Wood,NA,NA
233414,NA,Ester,WD5306,Newport,OR,13.07926829,#VALUE!,#VALUE!,15,NA,1943,Wood,NA,NA
233989,NA,RANGER,WDD9396,Seattle,WA,9.021639744,2.834501676,1.371533069,8,NA,1935,Wood,NA,NA
233995,NA,Backtack,WB5429,Charleston,OR,16.46341463,#VALUE!,#VALUE!,35,NA,1935,Wood,NA,NA
234021,NA,HARVEY O,WDH3904,Ilwaco,WA,15.05638525,4.327948796,1.920146297,31,150,1935,Wood,NA,NA
234247,NA,RUTH R,WDG3662,Eureka ,CA,11.27704968,3.383114904,1.889667784,15,NA,1935,Wood,NA,NA
234650,NA,Stampede,WE7214,Newport,OR,11.06707317,#VALUE!,#VALUE!,12,NA,NA,Wood,NA,NA
234870,12807,Belle,WAK5775,Port Angeles,WA,12.67,3.44,1.98,19,165,1936,Wood,NA,Troll
234874,NA,STARLITE,WCZ4329,Garibaldi,OR,10.54556538,3.261200853,1.462968607,10,NA,1936,Wood,NA,NA
235577,9689,Ann,WCO7495,Brookings,OR,12.8,2.74,1.92,12,175,1929,Wood,6,Multi-purpose
236190,14506,Maja,WDD8613,Sitka,AK,15.2,4.6,2.13,35,200,1937,Wood,NA,Troll
236389,NA,New Washington,WA8661,Seattle,WA,21.82926829,NA,NA,98,NA,1937,Wood,NA,NA
236607,13290,Henrietta W,WDA7956,Warrenton,OR,11.58,3.41,1.92,14,95,1937,Wood,NA,Troll
236664,NA,Haeshin,WA2420,Seattle,WA,21.09756098,NA,NA,89,NA,1937,Wood,NA,NA
236908,11087,Sonja,WDB9244,Astoria,OR,15.54,4.57,2.31,34,300,1937,Wood,27,Troll
237145,NA,Edith L,WA4477,Garibaldi,OR,10.24390244,NA,NA,9,NA,NA,Wood,NA,NA
237244,NA,DOREEN,WDE4190,Chinook,WA,12.80097531,3.505028955,1.523925632,16,NA,1938,Wood,NA,NA
237479,NA,CAROL ANN,WRA9431,Portland,OR,15.23925632,3.657421518,1.798232246,23,NA,1921,Wood,NA,NA
237661,15137,Rambler,WDF8397,Coos Bay,OR,12.16,3.93,1.79,19,165,1938,Wood,NA,Troll
237956,10447,Liberty II,WDD9228,Newport,OR,13.25,3.71,1.76,18,125,1939,Wood,13,Troll
